Series ID,Year,Period,Label,Value
APU0000702111,2022,M01,2022 Jan,1.555
APU0000702111,2022,M02,2022 Feb,1.578
APU0000702111,2022,M03,2022 Mar,1.607
APU0000702111,2022,M04,2022 Apr,1.612
APU0000702111,2022,M05,2022 May,1.606
APU0000702111,2022,M06,2022 Jun,1.691
APU0000702111,2022,M07,2022 Jul,1.715
APU0000702111,2022,M08,2022 Aug,1.756
APU0000702111,2022,M09,2022 Sep,1.749
APU0000702111,2022,M10,2022 Oct,1.814
APU0000702111,2022,M11,2022 Nov,1.847
APU0000702111,2022,M12,2022 Dec,1.873
APU0000702111,2023,M01,2023 Jan,1.888
APU0000702111,2023,M02,2023 Feb,1.896
APU0000702111,2023,M03,2023 Mar,1.936
APU0000702111,2023,M04,2023 Apr,1.989
APU0000702111,2023,M05,2023 May,1.951
APU0000702111,2023,M06,2023 Jun,1.937
APU0000702111,2023,M07,2023 Jul,1.980
APU0000702111,2023,M08,2023 Aug,1.970
APU0000702111,2023,M09,2023 Sep,1.972
APU0000702111,2023,M10,2023 Oct,2.002
APU0000702111,2023,M11,2023 Nov,1.976
APU0000702111,2023,M12,2023 Dec,2.024
APU0000702111,2024,M01,2024 Jan,2.033
APU0000702111,2024,M02,2024 Feb,2.006
APU0000702111,2024,M03,2024 Mar,1.997
APU0000702111,2024,M04,2024 Apr,1.998
APU0000702111,2024,M05,2024 May,1.971
APU0000702111,2024,M06,2024 Jun,1.973
APU0000702111,2024,M07,2024 Jul,1.975
APU0000702111,2024,M08,2024 Aug,1.951
APU0000702111,2024,M09,2024 Sep,1.976
APU0000702111,2024,M10,2024 Oct,1.937
APU0000702111,2024,M11,2024 Nov,1.916
APU0000702111,2024,M12,2024 Dec,1.912
